date,year,month,month_no,quarter,cpi_index,cpi_inflation,wpi_index,housing_energy_index,food_beverages_index,transport_index,repo_rate,food_weight_pct,housing_weight_pct,transport_weight_pct,inflation_pressure_score,inflation_risk_level
2025-01-01,2025,January,1,Q1,101.67,,101.1,100.48,101.87,100.55,6.5,100.2,98.83,98.9,13.49,Low
2025-02-01,2025,February,2,Q1,101.32,-0.34,100.9,100.56,100.5,100.74,6.25,99.19,99.25,99.43,4.59,Low
2025-03-01,2025,March,3,Q1,101.39,0.07,100.6,100.71,100.4,100.73,6.25,99.02,99.33,99.35,7.14,Low
2025-04-01,2025,April,4,Q2,101.58,0.19,100.5,101.11,100.33,100.85,6.0,98.77,99.54,99.28,12.07,Low
2025-05-01,2025,May,5,Q2,101.9,0.32,100.2,101.35,100.69,100.96,6.0,98.81,99.46,99.08,18.49,Low
2025-06-01,2025,June,6,Q2,102.51,0.6,100.3,101.52,101.83,101.09,5.5,99.34,99.03,98.61,30.65,Low
2025-07-01,2025,July,7,Q3,103.35,0.82,100.2,101.65,103.67,101.14,5.5,100.31,98.36,97.86,46.42,Moderate
2025-08-01,2025,August,8,Q3,103.74,0.38,100.8,101.51,104.46,101.24,5.5,100.69,97.85,97.59,49.51,Moderate
2025-09-01,2025,September,9,Q3,103.74,0.0,101.0,101.62,104.11,101.06,5.5,100.36,97.96,97.42,44.72,Moderate
2025-10-01,2025,October,10,Q4,103.74,0.0,100.9,101.72,103.94,100.44,5.5,100.19,98.05,96.82,39.05,Moderate
2025-11-01,2025,November,11,Q4,104.01,0.26,101.5,101.78,104.42,100.53,5.5,100.39,97.86,96.65,45.04,Moderate
2025-12-01,2025,December,12,Q4,104.1,0.09,101.9,101.89,104.07,100.57,5.5,99.97,97.88,96.61,43.16,Moderate
2026-01-01,2026,January,1,Q1,104.45,2.74,102.3,101.95,104.03,100.64,5.5,99.6,97.61,96.35,56.47,Moderate
2026-02-01,2026,February,2,Q1,104.57,3.21,103.1,102.08,103.87,100.69,5.5,99.33,97.62,96.29,59.21,Moderate
2026-03-01,2026,March,3,Q1,104.84,3.4,104.6,102.68,104.12,100.73,5.5,99.31,97.94,96.08,67.95,Moderate
2026-04-01,2026,April,4,Q2,105.12,3.48,108.8,102.84,104.35,100.84,5.5,99.27,97.83,95.93,72.44,High
2026-05-01,2026,May,5,Q2,105.91,3.93,109.9,103.1,105.26,102.73,5.5,99.39,97.35,97.0,100.0,High
